itemid,shopid,name,image,price,stock,rating_star,cmt_count
22401277097,820983006,ZIFRIEND KA646 Mechanical Keyboard 64 Keys Rainbow Backlit Blue Red Switch Gaming Keyboard,ph-11134207-7r98p-lyxbnrbod8xm3a,79500000,1,,
6276797899,28528173,Redragon K606 Lakshmi Mechanical Keyboard,86d27cb412500de55a08e57957607b39,119300000,1,,
26483672564,1352712158,Nexion Wired Mechanical Keyboard Hot-swap LED Backlit Type-C Mode 61 Keys RGB Gaming Keyboard,ph-11134207-7rase-m9fpo2lendwzd0,69800000,1,,
29121101709,272447794,AULA WIN60/68HE Magnetic Keyboard RT Gaming Wired RGB Hot-swap 8kHz low latency Mechanical Keyboard,cn-11134207-820l4-mepfew5cyrk13a,183900000,1,,
27353855683,317024189,Nexion GK660/GK670/GK680 104 Keys 12 Running Lighting mode Mechanical Keyboard with mouse usb combo,ph-11134207-7r98v-lxdjtfmdq22sbe,95900000,1,,
49903318841,1702165413,[BIG SALE] AULA AG60 ALL-Aluminum Esports Mechanical RT Keyboard Double engine instantaneous cutting,ph-11134207-81ztg-mif608h91c0385,122900000,1,,
43424849884,1622203535,Attack Shark X65HE Pro Quickly Trigger Mechanical Keyboard Wireless Magnetic Switch Hot Swappable,ph-11134207-81ztn-mfyv03rc9selb9,122500000,1,,
27987851763,1257811163,GTX350 Gaming Keyboard and Mouse Set with Ergonomic Design,sg-11134253-7rdya-mcp478jqwmz286,74500000,1,,
27893817521,1563741984,AULA WIN60/68HE Magnetic Keyboard Gaming RT Wired RGB Hot-swap 8kHz low latency Mechanical Keyboard,ph-11134207-81zte-mijmm2ntr94yf4,179900000,1,,
27505913765,591619972,ZIFRIEND H61K Mechanical Keyboard Hot-swap Rainbow Backlit Gaming Keyboard Blue/Red/Brown Switch,sg-11134201-7rdxo-ly0mjfwu5jrge7,59800000,1,,
28190193866,1257811163,Goojodoq Wireless Bluetooth Keyboard and Mouse Set for Android Phone Laptop Tablet Small Mini Purple,3161645ac234658364e95f3044500cd3,26800000,1,,
24071392089,57239068,Zeus Wired Gaming Keyboard Mecha Gundam Style 98 Keys USB Mechanical Feel With Volume Control Media,ph-11134207-7r98y-lteokgtbak1ha5,25900000,1,,
22532449845,965400931,Machenike K500 Wired Mechanical Keyboard 94 Keys Rgb Backlit Hot Swappable,cn-11134207-7r98o-lpkfk41q5aqa98,159900000,1,,
29422769303,1041714897,Attack Shark M86 Wireless Mechanical Keyboard Bluetooth Rgb Side Carved E-Sports Game Keyboard full-,sg-11134201-824jd-meb6jw74tw5g1a,219900000,1,,
49151891447,1680518932,[12.12 MEGA SALE] ATTACK SHARK X85/X85 Pro Wireless Mechanical Keyboard 75% 80 Key Wired Bluetooth,ph-11134207-81ztq-mhbexcworaxb96,127500000,1,,
46502791110,822608811,Zeus x Raiku 83Keys Wired RGB Mechanical Keyboard w/ Multi-Function Knob Compact Layout Type C,cn-11134207-820l4-mifmcrq102ys69,109900000,1,,
29932211314,1041714897,ATTACK SHARK X65HE Pro  Quickly Trigger Mechanical Keyboard Wired Magnetic Switch Hot Swappable RGB,sg-11134201-824i4-meb6jr2l74lia8,199900000,1,,
49000608978,1292917461,Ultra-Quiet Gaming Keyboard Wired Membrane Mechanical Feel E-Sports Girls Office Computer Notebook Typing Dedicated,sg-11134201-821e9-mggcgykww9hq14,76700000,1,,
28952686577,776410927,"GG82G METCHANICAL KEYBOARD | GASKET MOUNT | 82 Keys Tri-Mode Wireless, Hot Swappable",ph-11134207-81ztj-mf0qgoj80f0odb,139900000,1,,
41901682373,890279864,Royal Kludge RK N99 Phantom 98 Key Tri-Mode RGB Wired Bluetooth 2.4G Wireless With TFT Screen Mechanical keyboard,cn-11134207-7ras8-m9zq8i820r7647,499900000,1,,
24007356856,167356732,Royal Kludge R65 Single-Mode RGB 66-Keys Hot-Swappable Mechanical Keyboard Phantom,ph-11134207-7r98z-lqa1ghydl1lb74,255900000,1,,
43652018973,1041714897,ATTACK SHARK M87PRO V2 Wireless Mechanical Keyboard with Side Printed PBT Keycaps,sg-11134201-824hs-meb6jh6obmrp77,229900000,1,,
51853300023,1702165413,[BIG SALE] AULA WIN68 HE Ultra 0.01RT Aluminum Mechanical Keyboard Hot-swappable Hybrid Axis RGB Cus,ph-11134207-81ztj-mif5wbjd6z2b13,122900000,1,,
55853272711,1563741984,AULA F75max Mechanical Keyboard 75% 80Key Bluetooth 2.4G USB-C LCD Screen Multi-Function Knob RGB,ph-11134207-81ztq-mijlykuclslk67,359900000,1,,
29720648206,1159948666,ElecFox LINKY 87 TKL Customized Mechanical Keyboard 87 Keys Wired & Wireless Bluetooth LED Gaming Keyboard,cn-11134207-7ras8-m4oatlig421570,239800000,1,,
18025374101,492848127,ZIYOULANG K3 98 Keys Mechanical Keyboard USB Wired Wireless Gaming Keyboard Colorful,sg-11134201-22120-jkffusmwupkv87,118000000,1,,
19780778218,451633403,ZIFRIEND ZA646 60% Hot Swappable Gaming Mechanical Keyboard Blue/Red Switch 63Keys RGB Backlit Wired,ph-11134207-7r991-llyhd6yuc9gx93,69900000,1,,
9445016832,89683872,Redragon Kumara K552 TKL Single Light Color Mechanical Keyboard (Blue Switch),ph-11134207-7ras9-m8l9kr0mhjf106,140100000,1,,
29962216994,368885895,FGG MAD 60 HE Wired magnetic switch hot swappable mechanical keyboard,cn-11134207-7ras8-mcu9hlj3d8233f,159000000,1,,
52250944938,54415693,Magegee MK-BOX 68-key 65% layout Wired Mechanical Keyboard,ph-11134207-81ztm-mgrds979wpvs55,84900000,1,,
29419119879,57239068,Zeus K-55 RGB Gaming Keyboard 104 Keys Backlight Wired Mechanical Keyboard Feel For Laptop,ph-11134207-7rasm-m35s1bqr4uwr03,50900000,1,,
26792962803,20011698,FEKER Alice75 Aluminum Ergonomic QMK/VIA Wireless Mechanical Keyboard 75% Gasket Mount Knob,ph-11134207-81ztk-mfut279hvsp5be,499900000,1,,
26333953753,1352712158,Nexion Mechanical Keyboard Tri-Mode Connection Hot-swap 88 Keys Gaming Keyboard (Gift Key Puller),ph-11134201-7ras9-m9ikjd336jxda0,105800000,1,,
56100860805,1168947121,Onikuma MT603 Game Keyboard RGB Backlit Mechanical Gaming Keyboard Wired USB For PC And Laptop,ph-11134207-81ztn-mhty4jeugtmw4e,209900000,1,,
7186471072,89683872,Redragon Lakshmi K606 Detachable Wire Mechanical Keyboard Blue | Red,ph-11134207-7rask-m8k78w4bn7oe79,114800000,1,,
28512014088,1352712158,NEXION KY-610 Real Mechanical Keyboard Colorful Backlit 104 Keys RGB Gaming Keyboard,ph-11134207-7rash-m73miibngoov48,88800000,1,,
41575810060,1660537653,"ASUS ROG Strix Scope RX EVA-02 Edition, 100% RGB Gaming Keyboard, rog RX Optical Mechanical Switches",ph-11134207-81ztk-mg7lirfdb9xo6c,160000000,1,,
25016950609,230087130,Centrix Wired Gaming Mouse RGB Multi-color Mixed Mechanical Multi-function Keys DPI Adjustment M-77,ph-11134207-7r98x-lsjbojx5vnqtc6,37900000,1,,
24000501565,57239068,Zeus Hot Swappable Mechanical Gaming Keyboard Wired 82 Keys Color Backlit With Volume Knob,ph-11134207-7r991-lw44dnow9l5t0d,92900000,1,,
24788998783,1414697201,"K37 Wired Keyboard, Slim Mechanical Keyboard Gray, Compatible With Mac And Windows Office Laptops, D",ph-11134207-7rase-m3adz8snbq53ff,54100000,1,,
24484804013,808004014,Keyboard For Gaming 61 Keys Wired Mechanical Keyboard Feel With RGB Backlit For Laptop & PC,ph-11134207-7r98r-lyywxezor7r2b0,54800000,1,,
26622756716,443401312,Attack Shark X66 Mechanical Keyboard 80 Key RGB Tri-Mode Bluetooth 2.4G Gasket Structure Hot-swap,ph-11134207-7rasm-m4ok7v37p9t23e,189900000,1,,
29032706205,57239068,Zeus K001 - LED Backlight Wired Gaming Keyboard And Mouse Bundle Plug And Play Mechanical Feel,ph-11134207-7rasg-m8d5heho8adpa1,30900000,1,,
54653342230,996437254,SKYSHIU SK75 Mechanical Keyboard 75% Layout Hot-Swap Gasket Structure Suitable for Gaming & Customiz,ph-11134207-81ztf-mig8wsiktp1j6f,168000000,1,,
41925421190,196214868," AJAZZ AJAZZ AF98 Wireless Keyboard With Mechanical Feel, Gateron Switch, Bluetooth 3-Mode, RGB Backlight, 98-Key Layout For Gaming, Office, Students",sg-11134201-822z1-mi766p66y5tuaa,133700000,1,,
