itemid,shopid,name,image,price,stock,rating_star,cmt_count
15847961290,592249106,Metal Gaming Keyboard Mechanical Feel With Hand Rest Luminous Mechanical Keyboard Haming Keyboard,795e5af33379a6fe58c3e59528fca45c,48800000,1,,
24547570827,57239068,Zeus x Raiku 83Keys Wired RGB Mechanical Keyboard w/ Multi-Function Knob Compact Layout Type C,ph-11134207-81ztl-mg4fzc21ophq1e,119900000,1,,
24482016019,591619972,ZT99 Customized Mechanical Keyboard TYPE-C Wired Hot Swappable Gasket Structure Noah Silver Switch,sg-11134201-7rd6i-lwe0zamgepe316,149900000,1,,
43824655366,1550472628,Raiku K26 Illuminated Keyboard Suspended Three-Color Mechanical Gaming Keyboard,sg-11134201-825al-mfxml7632808d4,37900000,1,,
55553100553,591619972,FURYCUBE IP98 Membrane Keyboard Wired White Keyboards With Knob  Mechanical Feel,ph-11134207-81ztq-micvh9h0fwu903,49900000,1,,
53050927922,1593527219,"Mixed Light Wired Mechanical Keyboard T62 - Hot Swap Blue/Red Switch, Compact E-Sports Gaming Keyboard, Customizable Mini Keyboard for Gamer Office",cn-11134207-820l4-mgqcso83239q77,105900000,1,,
27351133477,822608811,Zeus K-003 Darth Vader RGB Mechanical Gaming Keyboard K-003,sg-11134201-7rdwj-lzr1u1jcggo2aa,37900000,1,,
44701753514,1658760524,[YEAREND SALE] AULA L99 84-Key Tri-Mode Mechanical Keyboard IPS Touchscreen 8000mAh Custom RGB,sg-11134201-821di-mh96v0bcugp872,139400000,1,,
46750741824,237009525,Fantech ATOM61 MK211 Mechanical Gaming Keyboard RGB Compact 61 Keys Red Switch Detachable Type-C,ph-11134207-81ztg-mglsnqy6z9cd0e,74900000,1,,
27272769530,1041714897,Attack Shark X66 Wireless bluetooth RGB three-mode mechanical keyboard,sg-11134201-824hg-meb6jvgb8mpz11,189900000,1,,
27481456237,569355545,LANGTU T98 Tri-Mode Wireless Mechanical Keyboard Gasket 10K mAh Hotswap Mechanical Gaming Keyboard,ph-11134207-81ztn-mhln9xh4a87aa4,155800000,1,,
48803333305,1705174122,【AULA SALE】Aula F75 75% Mechanical Keyboard 3-in-1 Wired Bluetooth RGB Gaming Keyboard,ph-11134207-81ztq-mifi2cswaubr37,120000000,1,,
270784120,21380649,Redragon K551-1 Mitra 104 Key LED Backlit Mechanical Keyboard with Blue Switches ( Single Color),ph-11134207-7rash-m8n3nqljft4j0d,165000000,1,,
21178711721,569355545,LANGTU LT84 3MODE Hotswap Mechanical Keyboard DIY SCREEN And KNOB With RGB Backlit And Side Light,ph-11134207-81ztm-mhln56jt8dmpe0,169800000,1,,
42459523112,1588804168,Metal Mechanical Gaming keyboard Mouse Set USB Wired Esports RGB Gaming Keyboard Headset 键盘,cn-11134207-7ras8-mdckipq9arh831,195700000,1,,
